,department,proficiency_level,no_of_projects,manager_rating,promotion,project_score,hackerrank_score
114,4,8.0,23,5,1,52.0,64.0
115,4,8.0,23,5,1,92.0,58.0
116,4,1.0,23,5,1,52.0,64.0
117,4,1.0,23,5,1,92.0,58.0
118,1,4.0,29,4,1,65.0,75.0
119,1,4.0,29,4,1,26.0,81.0
120,0,0.0,24,5,1,60.0,99.0
121,0,0.0,24,5,1,83.0,81.0
122,0,0.0,24,5,1,82.0,89.0
123,3,0.0,19,4,1,73.0,87.0
124,1,0.0,4,3,1,64.0,84.0
125,1,0.0,4,3,1,75.0,81.0
126,1,0.0,29,4,1,74.0,78.0
127,1,0.0,29,4,1,64.0,65.0
128,1,0.0,29,4,1,73.0,72.0
129,1,0.0,4,2,1,52.0,100.0
130,1,0.0,7,4,0,23.0,24.0
131,1,0.0,9,4,1,82.0,52.0
132,1,0.0,9,4,1,58.0,80.0
133,1,0.0,9,4,1,94.0,59.0
134,1,0.0,19,1,0,45.0,20.0
135,0,0.0,7,1,0,0.0,0.0
136,3,7.0,19,4,1,83.0,99.0
137,3,7.0,19,4,1,68.0,65.0
138,2,1.0,20,1,1,94.0,67.0
139,2,1.0,20,1,1,53.0,81.0
140,2,2.0,20,1,1,94.0,67.0
141,2,2.0,20,1,1,53.0,81.0
142,2,0.0,22,3,1,51.0,67.0
143,2,0.0,22,3,1,59.0,61.0
144,2,0.0,22,3,1,60.0,54.0
145,4,2.0,2,4,0,23.0,26.0
146,4,2.0,2,4,0,35.0,15.0
147,4,2.0,2,4,0,32.0,10.0
148,4,8.0,2,4,0,23.0,26.0
149,4,8.0,2,4,0,35.0,15.0
150,4,8.0,2,4,0,32.0,10.0
151,1,0.0,23,3,1,0.0,0.0
152,2,0.0,6,3,1,76.0,85.0
153,2,0.0,6,3,1,81.0,64.0
154,2,0.0,6,3,1,89.0,82.0
155,2,0.0,6,3,1,74.0,95.0
156,2,0.0,6,3,1,62.0,67.0
157,1,0.0,2,4,0,26.0,1.0
158,1,0.0,2,4,0,33.0,40.0
159,4,0.0,5,3,0,16.0,27.0
160,4,0.0,5,3,0,5.0,21.0
161,0,0.0,9,3,1,89.0,88.0
162,0,0.0,9,3,1,98.0,85.0
163,0,0.0,9,3,1,91.0,94.0
164,0,0.0,9,3,1,93.0,92.0
165,0,0.0,9,3,1,92.0,3.0
166,0,0.0,9,3,1,61.0,75.0
167,3,5.0,6,3,0,0.0,0.0
168,2,0.0,4,2,0,10.0,29.0
169,1,0.0,7,4,0,13.0,37.0
170,1,0.0,7,4,0,33.0,15.0
171,4,2.0,5,4,1,0.0,0.0
172,4,5.0,28,5,1,53.0,67.0
173,4,5.0,28,5,1,63.0,82.0
174,4,5.0,28,5,1,93.0,83.0
175,4,5.0,28,5,1,78.0,60.0
176,2,0.0,9,3,1,0.0,0.0
177,3,0.0,1,4,0,2.0,39.0
178,3,0.0,1,4,0,99.0,23.0
179,2,0.0,30,4,1,96.0,88.0
180,2,0.0,30,4,1,91.0,65.0
181,3,0.0,16,3,1,60.0,81.0
182,2,0.0,30,1,0,14.0,23.0
183,2,0.0,30,1,0,44.0,18.0
184,2,0.0,30,1,0,7.0,10.0
185,2,0.0,30,1,0,38.0,46.0
186,3,0.0,11,3,1,68.0,93.0
187,3,0.0,11,3,1,54.0,72.0
188,3,0.0,11,3,1,89.0,56.0
189,0,4.0,26,3,1,64.0,59.0
190,0,4.0,26,3,1,84.0,61.0
191,0,4.0,26,3,1,88.0,89.0
192,0,4.0,26,3,1,64.0,59.0
193,0,4.0,26,3,1,84.0,61.0
194,0,4.0,26,3,1,88.0,89.0
195,0,5.0,26,3,1,64.0,59.0
196,0,5.0,26,3,1,84.0,61.0
197,0,5.0,26,3,1,88.0,89.0
198,3,1.0,21,5,1,66.0,62.0
199,3,5.0,11,3,1,58.0,87.0
200,1,5.0,16,5,1,84.0,63.0
201,1,5.0,16,5,1,92.0,58.0
202,1,5.0,16,5,1,98.0,60.0
203,1,4.0,16,5,1,84.0,63.0
204,1,4.0,16,5,1,92.0,58.0
205,1,4.0,16,5,1,98.0,60.0
206,0,3.0,1,2,1,63.0,87.0
207,0,3.0,1,2,1,98.0,88.0
208,2,0.0,22,3,1,77.0,67.0
209,2,0.0,22,3,1,85.0,46.0
210,2,0.0,22,3,1,99.0,97.0
211,0,5.0,18,3,1,52.0,97.0
212,4,0.0,27,5,1,58.0,90.0
213,2,0.0,6,2,0,0.0,0.0
214,2,1.0,25,1,1,76.0,86.0
215,2,1.0,25,1,1,53.0,87.0
216,4,0.0,1,1,1,84.0,84.0
217,4,0.0,1,1,1,97.0,94.0
218,4,0.0,5,3,1,61.0,98.0
219,0,6.0,25,1,0,0.0,0.0
220,3,5.0,20,2,1,74.0,99.0
221,3,0.0,4,1,0,40.0,44.0
222,1,3.0,23,4,1,97.0,55.0
223,1,3.0,23,4,1,67.0,76.0
224,1,3.0,23,4,1,80.0,60.0
225,2,0.0,16,5,1,0.0,0.0
226,4,0.0,10,4,1,97.0,89.0
227,1,2.0,11,2,1,0.0,0.0
228,4,0.0,11,4,1,0.0,0.0
229,3,9.0,7,1,0,18.0,49.0
230,2,1.0,23,5,1,61.0,78.0
231,2,1.0,23,5,1,78.0,57.0
232,0,0.0,9,4,1,0.0,0.0
233,3,0.0,9,4,1,93.0,63.0
234,0,0.0,21,4,1,0.0,0.0
235,2,0.0,14,3,1,53.0,63.0
236,2,0.0,14,3,1,93.0,78.0
237,3,0.0,9,4,1,68.0,84.0
238,1,0.0,8,5,1,3.0,61.0
239,3,0.0,14,2,0,20.0,14.0
240,4,1.0,2,1,0,27.0,4.0
241,4,1.0,2,1,0,28.0,21.0
242,1,2.0,7,2,0,0.0,0.0
243,4,0.0,25,4,1,73.0,91.0
244,3,8.0,14,1,0,0.0,0.0
245,3,2.0,14,1,0,0.0,0.0
246,3,0.0,9,5,1,79.0,73.0
247,2,0.0,29,2,1,0.0,0.0
248,3,0.0,20,1,1,85.0,99.0
249,4,4.0,23,5,1,87.0,92.0
250,1,0.0,23,2,1,0.0,0.0
251,2,0.0,4,2,0,0.0,0.0
252,4,1.0,19,4,1,84.0,74.0
253,4,1.0,19,4,1,91.0,74.0
254,4,1.0,19,4,1,93.0,99.0
255,2,0.0,1,5,1,82.0,59.0
256,3,1.0,28,3,1,0.0,0.0
257,3,0.0,20,2,0,43.0,10.0
258,3,0.0,20,2,0,17.0,46.0
259,3,0.0,20,2,0,4.0,30.0
260,3,0.0,20,2,0,43.0,12.0
261,3,0.0,20,2,0,15.0,9.0
262,1,10.0,12,4,1,86.0,76.0
263,1,3.0,12,4,1,86.0,76.0
264,0,0.0,5,5,0,43.0,13.0
265,0,0.0,5,5,0,31.0,12.0
266,2,3.0,28,1,1,42.0,57.0
267,2,2.0,28,1,1,42.0,57.0
268,0,0.0,12,1,1,96.0,92.0
269,1,2.0,15,2,0,26.0,16.0
270,2,1.0,11,3,1,98.0,65.0
271,2,1.0,11,3,1,98.0,65.0
272,2,2.0,11,3,1,98.0,65.0
273,2,2.0,11,3,1,98.0,65.0
274,4,1.0,3,5,1,0.0,0.0
275,4,0.0,19,3,1,19.0,15.0
276,0,0.0,20,3,1,98.0,55.0
277,0,0.0,20,3,1,51.0,81.0
278,0,0.0,20,3,1,63.0,90.0
279,0,0.0,20,3,1,98.0,65.0
280,4,0.0,20,5,1,69.0,87.0
281,4,0.0,19,2,1,54.0,94.0
282,0,4.0,25,2,0,29.0,12.0
283,0,5.0,25,2,0,29.0,12.0
284,1,0.0,11,2,1,88.0,92.0
285,1,0.0,11,2,1,73.0,88.0
286,2,3.0,22,2,1,95.0,62.0
287,2,5.0,22,2,1,95.0,62.0
288,4,0.0,17,4,1,80.0,74.0
289,4,0.0,17,4,1,76.0,59.0
290,0,8.0,11,3,1,73.0,98.0
291,0,8.0,11,3,1,83.0,58.0
292,0,8.0,11,3,1,66.0,61.0
293,1,0.0,3,1,1,51.0,99.0
294,4,8.0,15,4,1,51.0,79.0
295,4,8.0,15,4,1,66.0,83.0
296,4,8.0,15,4,1,56.0,66.0
297,4,8.0,15,4,1,58.0,84.0
298,1,1.0,19,4,1,0.0,0.0
299,1,10.0,8,4,1,0.0,0.0
300,1,3.0,8,4,1,0.0,0.0
301,4,3.0,14,2,1,0.0,0.0
302,4,5.0,14,2,1,0.0,0.0
303,4,0.0,16,1,1,0.0,0.0
304,4,5.0,6,5,0,0.0,0.0
305,4,4.0,6,5,0,0.0,0.0
306,3,1.0,9,4,1,0.0,0.0
307,3,4.0,9,4,1,0.0,0.0
308,3,7.0,9,4,1,0.0,0.0
309,3,1.0,9,4,1,0.0,0.0
310,4,4.0,18,5,1,83.0,51.0
311,4,4.0,18,5,1,60.0,96.0
312,2,0.0,8,3,1,58.0,56.0
313,2,0.0,8,3,1,90.0,71.0
314,2,0.0,8,3,1,63.0,76.0
315,4,0.0,28,3,1,0.0,0.0
316,0,0.0,10,3,1,81.0,90.0
317,3,3.0,17,1,1,0.0,0.0
318,4,7.0,5,2,0,18.0,6.0
319,0,10.0,20,1,1,0.0,0.0
320,3,5.0,14,1,1,0.0,0.0
321,2,6.0,7,1,1,67.0,75.0
322,3,0.0,22,5,1,0.0,0.0
323,2,5.0,7,5,0,22.0,18.0
324,1,10.0,21,5,1,76.0,83.0
325,1,10.0,21,5,1,81.0,95.0
326,1,5.0,21,5,1,76.0,83.0
327,1,5.0,21,5,1,81.0,95.0
328,1,4.0,5,1,1,0.0,0.0
329,4,1.0,16,2,0,27.0,48.0
330,4,1.0,16,2,0,58.0,67.0
331,4,4.0,16,2,0,27.0,48.0
332,4,4.0,16,2,0,58.0,67.0
333,4,6.0,16,2,0,27.0,48.0
334,4,6.0,16,2,0,58.0,67.0
335,4,3.0,25,3,1,76.0,93.0
336,4,8.0,25,3,1,76.0,93.0
337,2,0.0,14,2,1,59.0,49.0
338,3,0.0,3,2,0,43.0,36.0
339,1,0.0,13,4,1,81.0,99.0
340,4,0.0,30,4,1,0.0,0.0
341,3,4.0,5,5,0,5.0,8.0
342,3,4.0,5,5,0,34.0,2.0
343,3,4.0,5,5,0,29.0,16.0
344,3,4.0,5,5,0,21.0,27.0
345,0,3.0,23,2,0,23.0,42.0
346,2,0.0,17,1,0,0.0,0.0
347,2,5.0,14,3,1,0.0,0.0
348,2,5.0,14,3,1,0.0,0.0
349,3,0.0,3,2,1,71.0,60.0
350,3,0.0,3,2,1,87.0,52.0
351,3,0.0,3,2,1,55.0,55.0
352,3,0.0,3,2,1,68.0,97.0
353,4,5.0,27,3,1,52.0,60.0
354,1,3.0,19,1,1,88.0,97.0
355,1,3.0,19,1,1,73.0,75.0
356,1,3.0,19,1,1,91.0,98.0
357,1,3.0,19,1,1,88.0,97.0
358,1,3.0,19,1,1,73.0,75.0
359,1,3.0,19,1,1,91.0,98.0
360,4,0.0,21,2,0,11.0,26.0
361,4,0.0,21,2,0,19.0,47.0
362,4,0.0,1,2,0,43.0,24.0
363,4,0.0,1,2,0,14.0,4.0
364,4,0.0,1,2,0,31.0,21.0
365,4,0.0,1,2,0,27.0,43.0
366,4,0.0,1,2,0,12.0,29.0
367,4,10.0,9,4,1,0.0,0.0
368,4,1.0,8,2,1,70.0,85.0
369,1,1.0,30,3,1,90.0,79.0
370,1,5.0,8,3,1,0.0,0.0
371,1,0.0,28,3,1,51.0,74.0
372,2,0.0,8,4,1,0.0,0.0
373,4,0.0,5,5,0,0.0,0.0
374,4,4.0,18,4,1,55.0,74.0
375,0,10.0,30,1,1,91.0,92.0
376,0,10.0,30,1,1,89.0,85.0
377,4,1.0,15,2,1,52.0,78.0
378,1,0.0,4,1,1,64.0,90.0
379,1,0.0,4,1,1,69.0,88.0
380,3,7.0,23,3,1,62.0,71.0
381,3,7.0,23,3,1,87.0,83.0
382,4,0.0,29,1,1,64.0,71.0
383,1,0.0,17,4,1,91.0,81.0
384,4,0.0,20,1,0,21.0,23.0
385,0,1.0,30,1,1,0.0,0.0
386,0,6.0,30,1,1,0.0,0.0
387,2,3.0,24,2,1,0.0,0.0
388,1,0.0,30,2,0,0.0,0.0
389,2,5.0,29,5,1,0.0,0.0
390,2,8.0,29,5,1,0.0,0.0
391,2,5.0,29,5,1,0.0,0.0
392,2,5.0,29,5,1,0.0,0.0
393,0,0.0,13,4,1,93.0,65.0
394,0,0.0,13,4,1,85.0,55.0
395,0,4.0,20,3,1,70.0,71.0
396,0,4.0,20,3,1,72.0,78.0
397,0,5.0,20,3,1,70.0,71.0
398,0,5.0,20,3,1,72.0,78.0
399,0,10.0,20,3,1,70.0,71.0
400,0,10.0,20,3,1,72.0,78.0
401,3,0.0,17,4,1,0.0,0.0
402,2,0.0,11,5,1,100.0,68.0
403,1,3.0,6,3,1,48.0,13.0
404,1,3.0,6,3,1,98.0,62.0
405,3,0.0,25,2,1,0.0,0.0
406,3,0.0,4,5,0,5.0,6.0
407,3,0.0,4,5,0,28.0,11.0
408,3,0.0,4,5,0,12.0,20.0
409,2,0.0,18,1,0,0.0,0.0
410,4,4.0,8,5,1,85.0,65.0
411,3,0.0,21,1,1,95.0,69.0
412,3,0.0,21,1,1,52.0,55.0
413,3,0.0,21,1,1,74.0,71.0
414,3,0.0,21,1,1,100.0,96.0
415,1,0.0,23,2,1,65.0,86.0
416,1,0.0,23,2,1,96.0,86.0
417,1,0.0,23,2,1,70.0,89.0
418,3,1.0,13,1,1,0.0,0.0
419,0,0.0,5,2,0,0.0,0.0
420,3,2.0,11,2,0,0.0,0.0
421,3,10.0,11,2,0,0.0,0.0
422,3,0.0,30,2,1,75.0,98.0
423,3,0.0,30,2,1,64.0,75.0
424,4,4.0,10,5,1,31.0,76.0
425,2,2.0,7,4,0,3.0,38.0
426,2,0.0,14,5,1,70.0,99.0
427,0,10.0,2,5,0,0.0,0.0
428,1,2.0,25,3,1,90.0,91.0
429,1,2.0,25,3,1,61.0,93.0
430,1,2.0,25,3,1,54.0,82.0
431,2,2.0,22,5,1,95.0,64.0
432,1,0.0,6,3,0,43.0,40.0
433,2,2.0,4,1,0,0.0,0.0
434,1,0.0,12,5,1,0.0,0.0
435,0,9.0,30,1,1,0.0,0.0
436,0,3.0,30,1,1,0.0,0.0
437,0,2.0,30,1,1,0.0,0.0
438,4,9.0,23,5,1,0.0,0.0
439,1,0.0,24,1,1,56.0,71.0
440,1,0.0,24,1,1,60.0,30.0
441,1,0.0,24,1,1,97.0,66.0
442,1,0.0,24,1,1,52.0,90.0
443,1,0.0,24,5,1,59.0,95.0
444,4,1.0,11,4,1,89.0,54.0
445,4,1.0,11,4,1,81.0,96.0
446,4,1.0,11,4,1,89.0,54.0
447,4,1.0,11,4,1,81.0,96.0
448,2,0.0,25,4,1,62.0,94.0
449,2,0.0,25,4,1,70.0,51.0
450,2,0.0,25,4,1,73.0,68.0
451,2,0.0,25,4,1,73.0,59.0
452,4,0.0,12,4,1,86.0,70.0
453,4,0.0,12,4,1,61.0,99.0
454,0,0.0,21,5,1,89.0,92.0
455,1,4.0,24,5,1,57.0,89.0
456,4,7.0,21,4,1,77.0,76.0
457,4,7.0,21,4,1,94.0,86.0
458,4,7.0,21,4,1,74.0,83.0
459,4,7.0,21,4,1,71.0,99.0
460,0,5.0,18,1,0,13.0,6.0
461,0,5.0,18,1,0,13.0,6.0
462,1,0.0,27,1,0,31.0,12.0
463,4,0.0,13,3,1,53.0,56.0
464,3,3.0,21,3,1,27.0,7.0
465,3,4.0,7,2,0,28.0,45.0
466,3,4.0,7,2,0,58.0,77.0
467,0,0.0,16,1,1,98.0,51.0
468,1,6.0,5,1,0,6.0,6.0
469,4,0.0,23,3,1,41.0,61.0
470,4,0.0,23,3,1,81.0,93.0
471,4,0.0,23,3,1,86.0,61.0
472,4,0.0,23,3,1,64.0,64.0
473,2,3.0,24,2,1,0.0,0.0
474,4,3.0,8,3,1,0.0,0.0
475,4,6.0,8,3,1,0.0,0.0
476,3,0.0,21,5,1,52.0,74.0
477,1,0.0,13,3,1,0.0,0.0
478,0,0.0,7,5,0,4.0,44.0
479,0,0.0,7,5,0,33.0,43.0
480,3,3.0,9,1,0,6.0,29.0
481,3,2.0,25,1,1,0.0,0.0
482,3,3.0,25,1,1,0.0,0.0
483,2,0.0,30,1,0,40.0,25.0
484,2,0.0,30,1,0,10.0,3.0
485,2,2.0,19,2,0,19.0,23.0
486,4,0.0,5,4,0,35.0,42.0
487,1,3.0,16,3,1,0.0,0.0
488,3,1.0,8,2,0,47.0,14.0
489,3,0.0,3,1,1,0.0,0.0
490,4,0.0,6,4,1,98.0,78.0
491,1,1.0,23,1,0,44.0,34.0
492,4,0.0,22,2,1,58.0,73.0
493,0,4.0,3,3,0,21.0,4.0
494,0,4.0,3,3,0,40.0,16.0
495,0,4.0,3,3,0,40.0,50.0
496,3,0.0,29,2,1,85.0,60.0
497,0,6.0,6,4,0,0.0,0.0
498,1,2.0,6,3,0,0.0,0.0
499,1,3.0,26,4,1,60.0,95.0
500,1,3.0,26,4,1,88.0,99.0
501,1,0.0,3,2,0,0.0,0.0
502,0,0.0,7,1,1,95.0,60.0
503,0,0.0,7,1,1,71.0,84.0
504,3,1.0,3,2,0,43.0,34.0
505,3,1.0,3,2,0,9.0,38.0
506,3,1.0,3,2,0,50.0,18.0
507,3,0.0,13,1,0,35.0,49.0
508,3,5.0,22,5,1,74.0,86.0
509,3,5.0,22,5,1,98.0,28.0
510,0,4.0,2,1,0,31.0,19.0
511,0,8.0,2,1,0,31.0,19.0
512,2,3.0,1,1,0,0.0,0.0
513,2,2.0,4,3,1,83.0,55.0
514,2,9.0,4,3,1,83.0,55.0
515,4,0.0,2,3,0,6.0,45.0
516,2,0.0,22,5,1,0.0,0.0
517,3,0.0,3,4,0,23.0,49.0
518,3,0.0,3,4,0,4.0,8.0
519,1,2.0,7,1,1,97.0,63.0
520,4,1.0,18,4,1,0.0,0.0
521,1,0.0,7,5,1,68.0,57.0
522,1,0.0,7,5,1,84.0,70.0
523,3,0.0,17,3,1,58.0,96.0
524,3,0.0,17,3,1,52.0,88.0
525,4,0.0,6,5,1,0.0,0.0
526,0,0.0,11,2,0,6.0,0.0
527,0,0.0,11,2,0,36.0,17.0
528,2,1.0,22,3,1,91.0,52.0
529,2,1.0,22,3,1,84.0,76.0
530,1,4.0,29,3,1,0.0,0.0
531,2,0.0,28,4,1,0.0,0.0
532,1,0.0,25,5,1,90.0,79.0
533,0,0.0,1,5,0,16.0,24.0
534,0,0.0,1,5,0,41.0,25.0
535,2,3.0,14,2,0,0.0,0.0
536,2,1.0,14,2,0,0.0,0.0
537,0,1.0,26,3,1,63.0,88.0
538,0,1.0,26,3,1,51.0,55.0
539,0,5.0,26,3,1,63.0,88.0
540,0,5.0,26,3,1,51.0,55.0
541,0,1.0,26,3,1,63.0,88.0
542,0,1.0,26,3,1,51.0,55.0
543,2,0.0,24,3,1,81.0,88.0
544,1,6.0,23,2,0,0.0,0.0
545,3,0.0,6,3,1,62.0,91.0
546,4,0.0,19,2,1,74.0,98.0
547,0,4.0,17,5,1,97.0,80.0
548,0,6.0,17,5,1,97.0,80.0
549,3,0.0,24,5,1,0.0,0.0
550,3,0.0,3,1,0,0.0,0.0
551,0,0.0,13,4,1,76.0,53.0
552,0,0.0,13,4,1,92.0,94.0
553,1,3.0,12,3,1,88.0,81.0
554,2,0.0,6,5,1,91.0,96.0
555,2,0.0,6,5,1,93.0,76.0
556,3,0.0,9,5,1,60.0,52.0
557,2,3.0,16,5,1,69.0,98.0
558,2,3.0,16,5,1,86.0,73.0
559,2,3.0,16,5,1,89.0,70.0
560,2,3.0,16,5,1,81.0,95.0
561,2,1.0,16,5,1,69.0,98.0
562,2,1.0,16,5,1,86.0,73.0
563,2,1.0,16,5,1,89.0,70.0
564,2,1.0,16,5,1,81.0,95.0
565,2,3.0,17,5,1,77.0,87.0
566,1,0.0,26,4,1,0.0,0.0
567,2,5.0,17,3,1,0.0,0.0
568,2,1.0,29,3,1,91.0,90.0
569,2,1.0,29,3,1,88.0,89.0
570,4,0.0,12,5,1,87.0,81.0
571,0,4.0,11,2,1,0.0,0.0
572,0,4.0,11,2,1,0.0,0.0
573,2,4.0,2,5,0,16.0,11.0
574,2,4.0,2,5,0,15.0,19.0
575,1,1.0,4,3,0,11.0,13.0
576,1,1.0,4,3,0,38.0,32.0
577,4,0.0,28,3,1,0.0,0.0
578,1,4.0,6,1,1,99.0,77.0
579,1,4.0,6,1,1,53.0,93.0
580,1,8.0,6,1,1,99.0,77.0
581,1,8.0,6,1,1,53.0,93.0
582,1,0.0,18,1,0,48.0,36.0
583,1,0.0,18,1,0,42.0,48.0
584,0,0.0,13,2,1,88.0,98.0
585,4,3.0,8,4,1,81.0,97.0
586,3,1.0,8,1,0,19.0,2.0
587,3,7.0,8,1,0,19.0,2.0
588,3,1.0,8,1,0,19.0,2.0
589,4,0.0,15,4,1,84.0,91.0
590,4,0.0,15,4,1,67.0,51.0
591,4,0.0,15,4,1,57.0,63.0
592,2,3.0,28,4,1,74.0,99.0
593,4,0.0,6,4,0,75.0,58.0
594,1,0.0,29,5,1,73.0,66.0
595,1,1.0,30,2,0,41.0,30.0
596,3,2.0,26,5,1,0.0,0.0
597,1,0.0,25,1,0,40.0,49.0
598,1,0.0,25,1,0,36.0,28.0
599,2,0.0,14,1,0,0.0,0.0
600,0,0.0,9,1,1,63.0,90.0
601,3,0.0,5,2,1,73.0,53.0
602,1,10.0,30,4,1,0.0,0.0
603,4,0.0,2,2,0,5.0,35.0
604,4,1.0,2,4,0,0.0,0.0
605,3,0.0,7,3,1,78.0,64.0
606,3,0.0,7,3,1,76.0,92.0
607,0,5.0,25,1,0,0.0,0.0
608,2,0.0,23,4,1,84.0,57.0
609,3,0.0,12,5,1,0.0,0.0
610,0,0.0,27,2,0,49.0,97.0
611,0,0.0,27,2,0,1.0,35.0
612,0,0.0,27,2,0,48.0,47.0
613,4,1.0,15,2,0,0.0,0.0
614,4,6.0,15,2,0,0.0,0.0
615,0,0.0,27,5,1,53.0,81.0
616,3,1.0,7,5,1,68.0,66.0
617,4,1.0,18,3,1,77.0,63.0
618,1,4.0,15,5,1,98.0,86.0
619,1,3.0,15,5,1,98.0,86.0
620,2,6.0,30,1,0,17.0,13.0
621,2,6.0,30,1,0,3.0,5.0
622,3,4.0,21,4,1,84.0,94.0
623,3,3.0,21,4,1,84.0,94.0
624,4,0.0,5,1,1,71.0,68.0
625,0,0.0,26,3,1,99.0,52.0
626,3,10.0,17,4,1,57.0,98.0
627,3,10.0,17,4,1,91.0,63.0
628,3,5.0,17,4,1,57.0,98.0
629,3,5.0,17,4,1,91.0,63.0
630,2,0.0,3,1,0,57.0,94.0
631,2,0.0,3,1,0,46.0,3.0
